-0.1,0.84,0.55
-0.1,0.84,0.52
-0.11,0.83,0.52
-0.13,0.82,0.51
-0.15,0.82,0.53
-0.12,0.83,0.56
-0.12,0.83,0.59
-0.04,0.82,0.61
-0.04,0.83,0.61
-0.07,0.84,0.63
-0.09,0.81,0.62
-0.09,0.81,0.62
-0.12,0.75,0.54
-0.13,0.76,0.52
-0.11,0.77,0.56
-0.06,0.78,0.62
-0.03,0.78,0.71
-0.02,0.76,0.8
0,0.73,0.85
0.02,0.7,0.84
0.02,0.7,0.84
0.03,0.7,0.74
0,0.73,0.69
-0.11,0.67,0.64
-0.12,0.71,0.67
-0.12,0.71,0.67
-0.07,0.69,0.69
-0.07,0.68,0.71
-0.08,0.71,0.72
-0.07,0.7,0.76
-0.02,0.67,0.77
-0.02,0.67,0.75
-0.01,0.7,0.73
0.02,0.74,0.71
0.04,0.75,0.69
0.01,0.76,0.69
-0.02,0.75,0.69
-0.03,0.74,0.69
-0.03,0.75,0.69
-0.01,0.75,0.69
0.01,0.74,0.67
0.04,0.74,0.65
0.05,0.75,0.63
0.08,0.77,0.61
0.1,0.79,0.55
0.12,0.8,0.5
0.13,0.79,0.48
0.13,0.81,0.53
0.13,0.8,0.61
0.16,0.79,0.67
0.19,0.79,0.67
0.21,0.79,0.61
0.23,0.81,0.53
0.26,0.82,0.46
0.29,0.84,0.42
0.33,0.87,0.39
0.34,0.9,0.37
0.37,0.91,0.37
0.42,0.94,0.38
0.47,0.95,0.38
0.5,0.95,0.36
0.53,0.93,0.34
0.54,0.87,0.22
0.54,0.87,0.22
0.49,0.92,0.06
0.37,0.97,0.03
0.5,0.92,0.14
0.53,0.93,0.18
0.57,0.92,0.17
0.57,0.94,0.13
0.52,0.98,0.07
0.54,0.97,-0.06
0.45,0.97,-0.15
0.45,0.97,-0.15
0.45,0.97,-0.15
0.45,0.86,-0.06
0.41,0.91,-0.03
0.45,0.92,-0.07
0.47,0.95,-0.15
0.5,1.01,-0.21
0.47,1.01,-0.23
0.38,0.97,-0.25
0.29,0.93,-0.21
0.24,0.91,-0.13
0.25,0.91,-0.09
0.21,0.92,-0.1
0.18,0.96,-0.15
0.22,1,-0.26
0.25,1.04,-0.38
0.26,1.04,-0.48
0.23,1.02,-0.54
0.17,1.01,-0.52
0.14,0.97,-0.43
0.09,0.96,-0.3
0.03,0.98,-0.19
-0.02,0.98,-0.17
-0.06,0.98,-0.21
-0.08,0.98,-0.22
-0.04,1.01,-0.27
0.06,1,-0.33
0.07,0.96,-0.29
0.01,0.93,-0.23
-0.1,0.9,-0.17
-0.23,0.9,-0.14
-0.29,0.86,-0.13
-0.35,0.83,-0.15
-0.37,0.8,-0.1
-0.37,0.79,-0.1
-0.42,0.77,-0.1
-0.42,0.77,-0.1
-0.51,0.73,-0.05
-0.57,0.71,-0.03
-0.58,0.71,0.04
-0.63,0.69,0.1
-0.62,0.7,0.15
-0.6,0.71,0.19
-0.62,0.7,0.19
-0.65,0.68,0.22
-0.68,0.67,0.28
-0.72,0.65,0.36
-0.76,0.61,0.45
-0.82,0.59,0.49
-0.8,0.59,0.5
-0.72,0.59,0.51
-0.66,0.62,0.55
-0.64,0.62,0.59
-0.64,0.63,0.59
-0.65,0.62,0.6
-0.62,0.59,0.61
-0.55,0.59,0.61
-0.52,0.63,0.62
-0.53,0.65,0.63
-0.56,0.61,0.64
-0.56,0.59,0.66
-0.56,0.58,0.68
-0.53,0.59,0.7
-0.47,0.61,0.72
-0.36,0.61,0.82
-0.33,0.62,0.87
-0.31,0.64,0.89
-0.29,0.67,0.84
-0.28,0.7,0.77
-0.27,0.73,0.69
-0.27,0.76,0.66
-0.25,0.79,0.74
-0.23,0.78,0.87
-0.15,0.76,1
-0.04,0.77,1.01
0.01,0.83,0.89
-0.03,0.89,0.7
-0.11,0.91,0.55
-0.17,0.89,0.47
-0.23,0.85,0.46
-0.26,0.82,0.47
-0.24,0.82,0.52
-0.18,0.82,0.57
-0.1,0.84,0.61
-0.04,0.86,0.6
-0.13,0.84,0.47
-0.19,0.82,0.47
-0.25,0.79,0.49
-0.29,0.77,0.49
-0.29,0.76,0.51
-0.24,0.77,0.53
-0.17,0.8,0.54
-0.15,0.81,0.5
-0.17,0.81,0.44
-0.2,0.82,0.43
-0.2,0.82,0.43
-0.26,0.82,0.48
-0.26,0.81,0.53
-0.23,0.81,0.57
-0.19,0.83,0.59
-0.17,0.85,0.56
-0.17,0.85,0.56
-0.18,0.85,0.54
-0.2,0.85,0.53
-0.22,0.85,0.54
-0.22,0.85,0.54
-0.21,0.83,0.59
-0.18,0.84,0.59
-0.16,0.84,0.58
-0.16,0.83,0.51
-0.16,0.83,0.51
-0.17,0.81,0.49
-0.18,0.81,0.47
-0.19,0.82,0.48
-0.17,0.82,0.63
-0.16,0.81,0.63
-0.16,0.81,0.63
-0.17,0.83,0.58
-0.19,0.83,0.51
-0.2,0.81,0.49
-0.2,0.81,0.49
-0.21,0.81,0.51
-0.23,0.81,0.51
-0.23,0.77,0.5
-0.23,0.78,0.5
-0.2,0.81,0.51
-0.16,0.82,0.53
-0.16,0.82,0.52
-0.12,0.83,0.61
-0.12,0.83,0.61
-0.17,0.83,0.6
-0.2,0.81,0.63
-0.22,0.81,0.6
-0.22,0.82,0.6
-0.21,0.84,0.6
-0.2,0.85,0.56
-0.19,0.84,0.53
-0.17,0.86,0.53
-0.15,0.86,0.58
-0.13,0.84,0.67
